game_id,date,time,season,home_team,away_team,home_score,away_score,home_p1_goals,away_p1_goals,total_p1_goals,total_goals,is_draw,completed,venue_name,odds_over_under,odds_details,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds,closing_spread_odds,closing_total_odds,odds_data_quality,home_goalie_name,away_goalie_name,home_goalie_id,away_goalie_id,home_goalie_confirmed,away_goalie_confirmed,home_goalie_found,away_goalie_found,goalie_data_quality
401803179,2026-01-26,19:00,2026,CBJ,LAK,0,0,,,,0,1,0,Nationwide Arena,6.5,CBJ -118,-118.0,-102.0,-118.0,215.0,110.0,real,,,,,0,0,0,0,missing
401871417,2026-05-05,19:00,2026,COL,MIN,0,0,,,,0,1,0,Ball Arena,6.5,COL -205,-205.0,170.0,-205.0,124.0,-105.0,real,,,,,0,0,0,0,missing
401871404,2026-05-06,18:00,2026,BUF,MTL,0,0,,,,0,1,0,KeyBank Center,5.5,BUF -130,-130.0,110.0,-130.0,190.0,-122.0,real,,,,,0,0,0,0,missing
401871424,2026-05-06,20:30,2026,VGK,ANA,0,0,,,,0,1,0,T-Mobile Arena,6.5,VGK -162,-162.0,136.0,-162.0,154.0,102.0,real,,,,,0,0,0,0,missing
401871412,2026-05-07,19:00,2026,PHI,CAR,0,0,,,,0,1,0,Xfinity Mobile Arena,5.5,CAR -166,140.0,-166.0,-166.0,-192.0,114.0,real,,,,,0,0,0,0,missing
401871405,2026-05-08,18:00,2026,BUF,MTL,0,0,,,,0,1,0,KeyBank Center,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871425,2026-05-08,20:30,2026,ANA,VGK,0,0,,,,0,1,0,Honda Center,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871413,2026-05-09,17:00,2026,PHI,CAR,0,0,,,,0,1,0,Xfinity Mobile Arena,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871418,2026-05-09,20:00,2026,MIN,COL,0,0,,,,0,1,0,Grand Casino Arena,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871406,2026-05-10,18:00,2026,MTL,BUF,0,0,,,,0,1,0,Bell Centre,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871426,2026-05-10,20:30,2026,ANA,VGK,0,0,,,,0,1,0,Honda Center,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871414,2026-05-10,23:00,2026,CAR,PHI,0,0,,,,0,1,0,Lenovo Center,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871419,2026-05-10,23:00,2026,MIN,COL,0,0,,,,0,1,0,Grand Casino Arena,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871407,2026-05-11,23:00,2026,MTL,BUF,0,0,,,,0,1,0,Bell Centre,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871427,2026-05-11,23:00,2026,VGK,ANA,0,0,,,,0,1,0,T-Mobile Arena,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871415,2026-05-12,23:00,2026,PHI,CAR,0,0,,,,0,1,0,Xfinity Mobile Arena,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871420,2026-05-12,23:00,2026,COL,MIN,0,0,,,,0,1,0,Ball Arena,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871408,2026-05-13,23:00,2026,BUF,MTL,0,0,,,,0,1,0,KeyBank Center,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871428,2026-05-13,23:00,2026,ANA,VGK,0,0,,,,0,1,0,Honda Center,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871421,2026-05-14,23:00,2026,MIN,COL,0,0,,,,0,1,0,Grand Casino Arena,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871409,2026-05-15,23:00,2026,MTL,BUF,0,0,,,,0,1,0,Bell Centre,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871416,2026-05-15,23:00,2026,CAR,PHI,0,0,,,,0,1,0,Lenovo Center,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871429,2026-05-15,23:00,2026,VGK,ANA,0,0,,,,0,1,0,T-Mobile Arena,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871422,2026-05-16,23:00,2026,COL,MIN,0,0,,,,0,1,0,Ball Arena,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
401871410,2026-05-17,23:00,2026,BUF,MTL,0,0,,,,0,1,0,KeyBank Center,0.0,N/A,,,,,,fallback,,,,,0,0,0,0,missing
