dataset,market,fold,train_end_idx,valid_end_idx,rows_train,rows_valid,accuracy,logloss,brier
baseline,full_game,1,260,295,260,35,0.5714285714285714,1.3578988784534107,0.670167055623795
baseline,full_game,2,295,330,295,35,0.45714285714285713,1.3972616178509498,0.712695637551772
baseline,full_game,3,330,365,330,35,0.5428571428571428,1.46508019102552,0.7270672882307082
baseline,full_game,4,365,400,365,35,0.6285714285714286,1.3624886669948484,0.6414937054249359
baseline,full_game,5,400,430,400,30,0.5,1.2347057346206838,0.6700598884110317
baseline,over_25,1,260,295,260,35,0.6857142857142857,0.7359086444826748,0.25670003650091555
baseline,over_25,2,295,330,295,35,0.42857142857142855,1.4853102002880714,0.42053100936637844
baseline,over_25,3,330,365,330,35,0.5142857142857142,1.0135222712578293,0.3234277052243278
baseline,over_25,4,365,400,365,35,0.45714285714285713,1.1090829273651526,0.36456752749137966
baseline,over_25,5,400,430,400,30,0.43333333333333335,0.9604862943297664,0.3524225860304338
baseline,btts,1,260,295,260,35,0.5142857142857142,1.0018509732832233,0.34139851068789856
baseline,btts,2,295,330,295,35,0.5142857142857142,0.9272292802868655,0.31953361990309787
baseline,btts,3,330,365,330,35,0.45714285714285713,1.0351005242402362,0.3527545455180407
baseline,btts,4,365,400,365,35,0.5142857142857142,1.287232190331078,0.4026260043845029
baseline,btts,5,400,430,400,30,0.6666666666666666,0.7218784653543739,0.24426838536214157
v3,full_game,1,260,295,260,35,0.5142857142857142,1.4359103848919215,0.7422387907246571
v3,full_game,2,295,330,295,35,0.5142857142857142,1.2578645265270518,0.689670364772312
v3,full_game,3,330,365,330,35,0.45714285714285713,1.4367078605212147,0.764979458253905
v3,full_game,4,365,400,365,35,0.4857142857142857,1.3204568016972298,0.6609844117895647
v3,full_game,5,400,430,400,30,0.4666666666666667,1.3456820738387836,0.7043399924643322
v3,over_25,1,260,295,260,35,0.6571428571428571,0.7691559455507125,0.2617680451148588
v3,over_25,2,295,330,295,35,0.4857142857142857,1.4072157754401544,0.4201592881457318
v3,over_25,3,330,365,330,35,0.5714285714285714,0.9673903892663753,0.3154176757033901
v3,over_25,4,365,400,365,35,0.45714285714285713,1.2241088080041223,0.4012558520253519
v3,over_25,5,400,430,400,30,0.4666666666666667,1.1136001885552094,0.37911705978293797
v3,btts,1,260,295,260,35,0.5142857142857142,1.1512967363825632,0.37378606967047723
v3,btts,2,295,330,295,35,0.5142857142857142,0.9246631424775281,0.30952657756645713
v3,btts,3,330,365,330,35,0.42857142857142855,1.0936160834320425,0.36439395793571167
v3,btts,4,365,400,365,35,0.42857142857142855,1.2914002135891918,0.42050627793520046
v3,btts,5,400,430,400,30,0.6,0.7710341504402101,0.2617431676899828
