sport,date,game_id,odds_source_provider,home_moneyline_odds,away_moneyline_odds,closing_moneyline_odds,closing_spread_odds,closing_spread_line,closing_total_odds,closing_total_line,odds_over_under
nba,2026-03-23,401810894,theoddsapi:pinnacle,-217.0,182.0,-217.0,-108.0,4.5,-108.5,232.5,232.5
nba,2026-03-23,401810893,theoddsapi:pinnacle,138.0,-174.0,-174.0,-112.0,3.5,-112.0,213.5,213.5
nba,2026-03-23,401810895,theoddsapi:pinnacle,1594.0,-2901.0,-2901.0,-108.0,19.5,-108.0,233.5,233.5
nba,2026-03-23,401810896,theoddsapi:pinnacle,227.0,-274.0,-274.0,-108.0,6.5,-108.5,249.5,249.5
nba,2026-03-23,401810892,theoddsapi:pinnacle,-965.0,698.0,-965.0,-105.0,13.5,-106.5,239.5,239.5
nba,2026-03-24,401810902,theoddsapi:draftkings,-1350.0,800.0,-1350.0,-110.0,16.5,-110.0,227.5,227.5
nba,2026-03-24,401810903,theoddsapi:draftkings,-360.0,285.0,-360.0,-110.0,9.5,-110.0,231.5,231.5
nhl,2026-03-23,401803470,theoddsapi:pinnacle,162.0,-181.0,-181.0,-9.0,1.5,-6.0,6.0,6.0
nhl,2026-03-24,401803471,theoddsapi:pinnacle,-187.0,164.0,-187.0,-10.5,1.5,-7.5,6.0,6.0
nhl,2026-03-24,401803472,theoddsapi:pinnacle,117.0,-132.0,-132.0,-16.5,1.5,-107.0,6.5,6.5
nhl,2026-03-24,401803475,theoddsapi:pinnacle,-189.0,165.0,-189.0,-10.5,1.5,-7.5,6.0,6.0
nhl,2026-03-24,401803477,theoddsapi:pinnacle,136.0,-154.0,-154.0,-13.5,1.5,-7.5,6.5,6.5
nhl,2026-03-24,401803476,theoddsapi:pinnacle,120.0,-135.0,-135.0,-17.0,1.5,-107.0,6.0,6.0
nhl,2026-03-24,401803473,theoddsapi:draftkings,-112.0,-108.0,-112.0,-25.0,1.5,-10.0,6.5,6.5
nhl,2026-03-24,401803474,theoddsapi:pinnacle,-133.0,118.0,-133.0,-17.0,1.5,-107.0,6.0,6.0
nhl,2026-03-24,401803478,theoddsapi:draftkings,-170.0,142.0,-170.0,-13.0,1.5,-10.0,6.5,6.5
